mls_number,price,address,above_grade_bedrooms,below_grade_bedrooms,bathrooms,community_name,land_size,annual_prop_tax
C5379567,"$6,000,000","2445 BAYVIEW AVE
Toronto, Ontario M2L1A5","Above Grade
3","Below Grade
1","Total
3","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
100 x 164.93 FT","Annual Property Taxes
$13,900"
W5545843,"$1,400,000","60 EMILY AVE
Toronto, Ontario M9L2R1","Above Grade
4","Below Grade
1","Total
4","Community Name
Humber Summit","Land Size
44 x 100 FT","Annual Property Taxes
$4,321.58"
W5568756,"$2,288,888","14 WALSH AVE
Toronto, Ontario M9M1B6","Above Grade
4",,"Total
5","Community Name
Humberlea-Pelmo Park W5","Land Size
50 x 135 FT","Annual Property Taxes
$0"
W5568813,"$2,388,888","16 WALSH AVE
Toronto, Ontario M9M1B6","Above Grade
4",,"Total
5","Community Name
Humberlea-Pelmo Park W5","Land Size
50 x 135 FT","Annual Property Taxes
$0"
C5573476,"$4,990,000","117 ARJAY CRES
Toronto, Ontario M2L1C6","Above Grade
3",,"Total
3","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
70.01 x 201.46 FT","Annual Property Taxes
$11,000"
E5596189,"$2,075,000","217 DANFORTH RD
Toronto, Ontario M1L3X2","Above Grade
2","Below Grade
1","Total
3","Community Name
Clairlea-Birchmount","Land Size
95.73 x 173.48 FT ; 95.73 * 173.48 * 70.11 * 105.62","Annual Property Taxes
$14,348.65"
C5620993,"$7,280,000","53 HAZELTON AVE
Toronto, Ontario M5R2E3","Above Grade
3",,"Total
4","Community Name
Annex","Land Size
18.5 x 148 FT","Annual Property Taxes
$18,250.22"
W5630878,"$2,899,900","59 CYNTHIA RD
Toronto, Ontario M6N2P8","Above Grade
4","Below Grade
1","Total
5","Community Name
Rockcliffe-Smythe","Land Size
42 x 134.95 FT","Annual Property Taxes
$3,590.82"
C5651732,"$10,800,000","17 BAYVIEW RIDGE
Toronto, Ontario M2L1E3","Above Grade
7","Below Grade
1","Total
7","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
220.9 x 309 FT ; (Ravine Lot) Irregular Mpac","Annual Property Taxes
$33,031.36"
W5663083,"$1,425,000","46 MIMICO AVE
Toronto, Ontario M8V1R1",,,"Total
2","Community Name
Mimico","Land Size
40 x 132 FT","Annual Property Taxes
$11,891"
C5667753,"$7,590,000","15 ROYAL OAK DR
Toronto, Ontario M3C2M3","Above Grade
5","Below Grade
1","Total
7","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
104 x 120 FT","Annual Property Taxes
$25,207.80"
W5686861,"$4,999,000","20 MAYNARD AVE
Toronto, Ontario M6K2Z9","Above Grade
9","Below Grade
9","Total
18","Community Name
South Parkdale","Land Size
40 x 145 FT","Annual Property Taxes
$11,646.53"
C5708891,"$3,188,000","67 NEWTON DR
Toronto, Ontario M2M2M8","Above Grade
4","Below Grade
2","Total
5","Community Name
Newtonbrook East","Land Size
40 x 125.7 FT","Annual Property Taxes
$9,751.76"
W5713536,$1,"256 THE QUEENSWAY
Toronto, Ontario M8Y1J4","Above Grade
2",,"Total
1","Community Name
Stonegate-Queensway","Land Size
34.17 x 143.5 FT","Annual Property Taxes
$3,747"
W5719349,"$3,800,000","11 WALNUT CRES
Toronto, Ontario M8W2Z9","Above Grade
4",,"Total
5","Community Name
Long Branch","Land Size
50 x 125 FT","Annual Property Taxes
$9,725"
E5722309,"$2,150,000","163 WAVERLEY RD
Toronto, Ontario M4L3T4","Above Grade
2",,"Total
3","Community Name
The Beaches","Land Size
30 x 140 FT","Annual Property Taxes
$8,467.91"
W5727895,"$1,849,000","73 STEVENHARRIS DR
Toronto, Ontario M9C1V2","Above Grade
3","Below Grade
2","Total
2","Community Name
Markland Wood","Land Size
45 x 127 FT","Annual Property Taxes
$4,000.14"
40310686,"$1,988,888","28 ALGOMA Court
Toronto, Ontario M8Y1C3","Above Grade
4","Below Grade
2","Total
4",,"Land Size
under 1/2 acre",
